CDR3B length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.16666666666666666,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.01,0.04,0.09,0.22,0.28,0.22,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.00011531032892271325,0.0020755859206088387,0.01350572227507279,0.048242958863040156,0.11324915679321976,0.20718383349188504,0.2734728588313298,0.24801810372164088,0.09413646977428003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.3676114965947e-05,0.0020563375094376684,0.014082642616547365,0.0475108708329141,0.115683329894984,0.19149212706964833,0.2422461664184205,0.20826068541558967,0.13881919522342553,0.0395892342391271,0.00016573466493975238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2.1671469418940377e-05,0.0005531675272609207,0.005216370654161807,0.02398621781754088,0.06591288034409933,0.13598842699928462,0.2061445112883065,0.23735945049176793,0.18529651410271963,0.11286073948635042,0.026660049819089014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,7.79034473091402e-06,0.00021003009890302154,0.002276867821040579,0.01243898171691124,0.03835165238193441,0.08446607837396009,0.15755733440342493,0.22850098049261605,0.23236010426178239,0.15427207645841137,0.07600646830519289,0.013545382451385285,6.2528897068416835e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3.4813892852866277e-06,8.692647997777245e-05,0.001030616800943938,0.006608265755193919,0.024301240354051054,0.057759807573741606,0.11486356812108459,0.1935507601236787,0.24276835988364642,0.20075156786141798,0.1094198703826808,0.043072826429023915,0.005780387919083818,2.320926190191085e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.6597753611630287e-06,4.013111884536892e-05,0.00046923928439483975,0.003243926994422882,0.01379179941461393,0.03785043413179775,0.07936630322016869,0.15030336740133027,0.22442490658225328,0.23628175215021002,0.15845488546527559,0.07061761025066357,0.022733002468873248,0.00241793484410381,3.0468976855846975e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0135805672345793e-06,1.5735422904445025e-05,0.00018395656491563978,0.0013997879955006992,0.0068405472437795024,0.021891944501977605,0.049323763138849654,0.0957604334203434,0.17004422451407744,0.2321398837556018,0.21994846192056736,0.1311673947415274,0.05374112171964411,0.015964051786655914,0.0015732348930593575,4.44480002844672e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,7.749414919173602e-07,7.580949377452437e-06,7.351836240711652e-05,0.0005614956505566439,0.003033727475314744,0.01129591781037923,0.029106667663982674,0.05776380187643659,0.10623875071345157,0.18143021180161767,0.236251358674594,0.2073880563321817,0.1130003847752973,0.0422902755624559,0.010723269740960644,0.000831006824202164,3.2008452927021402e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.983518487155192e-06,8.696965674449689e-06,4.806217872722196e-05,0.0003127856075898572,0.0015869673680693195,0.006106795686915339,0.017510501204606035,0.03649811336876203,0.06439614831225464,0.1147918602504421,0.18948719943973233,0.23350544170668033,0.1914667508899132,0.0992918839000856,0.03610751280513762,0.008300719712054146,0.0005772038797621609,1.373205106492056e-06,0.0,0.0,0.0,0.0,0.0,0.0
17,1.7813388721096664e-06,1.2469372104767665e-05,2.1376066465315995e-05,0.00018614991213546014,0.0009191708580085879,0.003592960505045197,0.010980172807683984,0.02526918257031167,0.04535645036165632,0.07411794779073899,0.12663359907940408,0.19863175361233257,0.22615700186417112,0.17007332881467038,0.08305670625098531,0.02831883471936342,0.006262296804901532,0.00040881727114916845,0.0,0.0,0.0,0.0,0.0,0.0
18,1.3896995469579478e-05,2.0845493204369216e-05,6.948497734789739e-06,5.558798187831791e-05,0.0005558798187831791,0.00212624030684566,0.007073570694015954,0.018038300119514163,0.034110175380082826,0.05284332527307596,0.0811167625559354,0.13682286889574474,0.20105478195614107,0.21331193196031017,0.15288779565857863,0.07197253953695211,0.023847244225798384,0.00396759220656494,0.00017371244336974347,0.0,0.0,0.0,0.0,0.0
19,7.763975155279503e-05,7.763975155279503e-05,7.763975155279503e-05,0.0,0.00038819875776397513,0.0009316770186335404,0.005357142857142857,0.01156832298136646,0.026397515527950312,0.044642857142857144,0.05496894409937888,0.08633540372670807,0.14549689440993788,0.2045031055900621,0.21343167701863355,0.13229813664596274,0.05434782608695652,0.014673913043478261,0.004037267080745342,0.00038819875776397513,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.00101010101010101,0.0,0.00101010101010101,0.00808080808080808,0.012121212121212121,0.012121212121212121,0.0595959595959596,0.06767676767676768,0.09595959595959595,0.13333333333333333,0.18585858585858586,0.19090909090909092,0.14646464646464646,0.06767676767676768,0.015151515151515152,0.0030303030303030303,0.0,0.0,0.0,0.0
21,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04411764705882353,0.022058823529411766,0.11764705882352941,0.11764705882352941,0.23529411764705882,0.3014705882352941,0.11764705882352941,0.022058823529411766,0.014705882352941176,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
24,,,,,,,,,,,,,,,,,,,,,,,,
